S.No.,Land_owner_details,Land_detail,Land_Owner_or_ Authority,Location_wrt_kmz,RoU_Width (m),No_ of_Pipelines,RoU_availability_before_commissioning_of_CCCPL (m),RoU_availability _After_commissioning_of_CCCPL (m),Permission_details_or_Status_of_Acquistion,Cost_of_ROW
1,Buckiimgham Canal,Water Crossing ,PWD, TP03 - TP04,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
2,Kosasthalaiyar River,Water Crossing ,PWD, TP03 - TP04,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
3,Asphalt Road,Road Crossing,, TP13 - TP14,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
4,Railway Line (Attipattu -NCTPS),Railway Crossing,Railway, TP15 - TP16,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Pending,
5,CC Road,Road Crossing,, TP17 - TP18,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
6,Nala,Water Crossing ,PWD, TP18 - TP21,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
7,Nala,Water Crossing ,PWD, TP18 - TP21,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
8,Nala,Water Crossing ,PWD, TP18 - TP21,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
9,Asphalt Road (Athipattu -North Chennai Thermal Power station),Road Crossing,NH, TP25 - TP26,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
10,Railway Crossing(Railway Track inside NCTPS),Railway Crossing,Railway, TP27- TP28,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Pending,
11,C C Road (Road to NTECL),Road Crossing,SH, TP54 - TP55,-,"Total - 6 Nos.
1 - 16"" (EMPL) 
3 - 24"" (CCCPL)
 1 - 12"" (Torrent)
1 - 4"" (Torrent)",-,-,Available,
12,Kosasthalaiyar River,Water Crossing ,PWD, TP68 - TP69,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
13,Kosasthalaiyar River,Water Crossing ,PWD, TP73 - TP74,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
14,Kosasthalaiyar River,Water Crossing ,PWD, TP77 - TP77A,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
15,PWD ,Water Crossing ,PWD, TP76- TP78A,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
16,Manali High Road,Road Crossing,NHAI, TP 78A - TP79A,-,"Total - 3 Nos.
 3 - 24"" (CCCPL)",-,-,Available,Annexure-4
17,Railway Crossing,Railway Crossing,Railway, TP85A- TP86A,-,"Total - 3 Nos.
 3 - 24"" (CCCPL)",-,-,Pending,
